event,count,p_y_up,p_y_down,mean_return,median_return,p05_return,p95_return,mean_max_drawdown,mean_max_runup,edge
break_structure_down,1004,0.2360557768924303,0.2101593625498008,0.00019617277390919944,0.0011481582022482284,-0.01728667849605952,0.014446408886609313,-0.009012697369040602,0.007289215284485969,0.025896414342629487
break_structure_up&regime_ma99_slope_up,917,0.2257360959651036,0.20283533260632497,0.000434957323880569,-0.0006973865988230132,-0.014364441370673208,0.018620043033313733,-0.007463670591647852,0.008314574946720716,0.022900763358778636
break_structure_down&regime_ma99_slope_up,294,0.20408163265306123,0.1836734693877551,-9.675571056265421e-05,0.001144640935973884,-0.016224515387611927,0.011378988787553376,-0.007475804903779143,0.00597375046494014,0.020408163265306117
regime_ma99_slope_up,14464,0.15645741150442477,0.136891592920354,0.00032402841714012547,6.35364686237816e-05,-0.011436461685275384,0.012966425506907853,-0.005668616808763655,0.005853410592202412,0.019565818584070777
break_structure_up&regime_above_ma99,1094,0.2230347349177331,0.20383912248628885,0.00038226388579613754,-0.0007884720441669879,-0.014370690456730945,0.018476444643914135,-0.007383907912209532,0.00821051040613767,0.019195612431444242
break_structure_up,1276,0.22335423197492163,0.20454545454545456,0.0004192861446713821,-0.0007207493079028904,-0.014249503995674179,0.01891091472915013,-0.00725758593071131,0.008085513155715159,0.018808777429467072
regime_above_ma99&regime_ma99_slope_up,12018,0.15726410384423364,0.13870860376102512,0.0002985801999365966,-8.304823269911221e-06,-0.011591669121835667,0.013338158440214229,-0.005730256145851992,0.005989908342099957,0.018555500083208526
regime_above_ma99,14262,0.1540457158883747,0.13932127331370076,0.00022559617947367984,-6.297514900449608e-05,-0.011819453782834331,0.013027456998292237,-0.0057218542405300405,0.005915696378304032,0.014724442574673952
sweep_down_reclaim,1263,0.1876484560570071,0.19002375296912113,0.00018509309829725553,0.0008929585818897579,-0.014969290590477701,0.01374166195855599,-0.007731478429609018,0.006460398737567168,-0.002375296912114022
big_lower_wick,2734,0.14118507681053402,0.1441111923920995,-0.000122846748746306,-7.615115766318459e-05,-0.013076483865094163,0.012290489562926794,-0.006125990213463126,0.005549662762426717,-0.0029261155815654694
big_lower_wick&regime_ma99_slope_up,1385,0.14151624548736463,0.1472924187725632,-9.399562697720472e-05,-7.041081722714004e-05,-0.012474670051622927,0.01249756583826138,-0.006103479450543258,0.005638665966975401,-0.005776173285198555
big_lower_wick&regime_above_ma99,1321,0.1400454201362604,0.15215745647236942,-0.0001892815459372916,-0.00016377615121465627,-0.012494376960809905,0.013369510322464917,-0.00618816425329891,0.005785907198425331,-0.012112036336109022
big_lower_wick&sweep_down_reclaim,348,0.16379310344827586,0.1925287356321839,-0.00011092611944644381,0.0006534697509869014,-0.013386575901818654,0.012213977688343378,-0.007921817014881838,0.006113565377345881,-0.02873563218390804
sweep_down_reclaim&regime_ma99_slope_up,448,0.13392857142857142,0.16964285714285715,-0.0005028758473121635,0.0005487681755084184,-0.014257631195383013,0.01040556154271268,-0.007577055750193359,0.005419191798234219,-0.035714285714285726
sweep_down_reclaim&regime_above_ma99,279,0.14695340501792115,0.1971326164874552,-0.0005163655030135827,0.0006499864224014384,-0.01908327057367165,0.01309647419211463,-0.008100647413301477,0.005984602493457014,-0.05017921146953405
