split_id,status,n_train,n_test,auc,accuracy,tn,fp,fn,tp,reason
0,skipped,0,0,,,,,,,insufficient_rows
1,skipped,0,0,,,,,,,insufficient_rows
2,skipped,0,0,,,,,,,insufficient_rows
3,skipped,0,0,,,,,,,insufficient_rows
4,skipped,0,0,,,,,,,insufficient_rows
5,skipped,0,0,,,,,,,insufficient_rows
6,skipped,0,0,,,,,,,insufficient_rows
7,skipped,0,0,,,,,,,insufficient_rows
8,skipped,0,0,,,,,,,insufficient_rows
9,skipped,0,0,,,,,,,insufficient_rows
10,skipped,0,0,,,,,,,insufficient_rows
11,skipped,0,0,,,,,,,insufficient_rows
12,skipped,0,0,,,,,,,insufficient_rows
13,skipped,0,0,,,,,,,insufficient_rows
14,skipped,0,0,,,,,,,insufficient_rows
15,skipped,0,0,,,,,,,insufficient_rows
16,skipped,0,0,,,,,,,insufficient_rows
17,skipped,0,0,,,,,,,insufficient_rows
18,skipped,0,0,,,,,,,insufficient_rows
19,skipped,0,0,,,,,,,insufficient_rows
20,skipped,0,0,,,,,,,insufficient_rows
21,skipped,0,0,,,,,,,insufficient_rows
22,skipped,0,0,,,,,,,insufficient_rows
23,skipped,0,0,,,,,,,insufficient_rows
24,skipped,0,0,,,,,,,insufficient_rows
25,skipped,0,0,,,,,,,insufficient_rows
26,skipped,0,0,,,,,,,insufficient_rows
27,skipped,0,0,,,,,,,insufficient_rows
28,skipped,0,0,,,,,,,insufficient_rows
29,skipped,0,0,,,,,,,insufficient_rows
30,skipped,0,0,,,,,,,insufficient_rows
31,skipped,0,0,,,,,,,insufficient_rows
32,skipped,0,0,,,,,,,insufficient_rows
33,skipped,0,0,,,,,,,insufficient_rows
34,skipped,0,0,,,,,,,insufficient_rows
35,skipped,0,0,,,,,,,insufficient_rows
36,skipped,0,0,,,,,,,insufficient_rows
37,skipped,0,0,,,,,,,insufficient_rows
38,skipped,0,0,,,,,,,insufficient_rows
39,skipped,0,0,,,,,,,insufficient_rows
40,skipped,0,0,,,,,,,insufficient_rows
41,skipped,0,0,,,,,,,insufficient_rows
42,skipped,0,0,,,,,,,insufficient_rows
43,skipped,0,0,,,,,,,insufficient_rows
44,skipped,0,0,,,,,,,insufficient_rows
45,skipped,0,0,,,,,,,insufficient_rows
46,skipped,0,0,,,,,,,insufficient_rows
47,skipped,0,0,,,,,,,insufficient_rows
48,skipped,0,0,,,,,,,insufficient_rows
49,skipped,0,0,,,,,,,insufficient_rows
50,skipped,0,0,,,,,,,insufficient_rows
51,skipped,0,0,,,,,,,insufficient_rows
52,skipped,0,0,,,,,,,insufficient_rows
53,skipped,0,0,,,,,,,insufficient_rows
54,skipped,0,0,,,,,,,insufficient_rows
55,skipped,0,0,,,,,,,insufficient_rows
56,skipped,0,0,,,,,,,insufficient_rows
57,skipped,0,0,,,,,,,insufficient_rows
58,skipped,0,0,,,,,,,insufficient_rows
59,skipped,0,0,,,,,,,insufficient_rows
60,skipped,0,0,,,,,,,insufficient_rows
61,skipped,0,0,,,,,,,insufficient_rows
62,skipped,0,0,,,,,,,insufficient_rows
63,skipped,0,0,,,,,,,insufficient_rows
64,skipped,0,0,,,,,,,insufficient_rows
65,skipped,0,0,,,,,,,insufficient_rows
66,skipped,0,0,,,,,,,insufficient_rows
67,skipped,0,0,,,,,,,insufficient_rows
68,skipped,0,0,,,,,,,insufficient_rows
69,skipped,0,0,,,,,,,insufficient_rows
