wick_threshold,horizon_candles,target_return,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades,blocked_edge_total,blocked_by_regime_rule_total
0.8,12,0.012,-0.000381568202970694,-0.8892477668521311,-0.0009077874413525259,-0.7579564395787819,1212,0,12
0.8,4,0.012,-0.0006271225476785214,-0.8981881695756667,-0.0009080464325895767,-0.7901809037994453,1477,0,13
0.8,6,0.012,-0.0005048698476550111,-0.8547805017116832,-0.0010322169820007586,-0.7922983429248102,1366,0,12
0.4,6,0.012,-0.0006231503555882755,-0.9990296742770112,-0.0010560113619062618,-0.9815274755428479,3493,0,6
0.8,12,0.009,-0.000381568202970694,-0.8892477668521311,-0.00107704693269898,-0.7952204142131797,1345,0,11
0.8,8,0.012,-0.00041388412645362816,-0.8688066308737864,-0.0010853032176190106,-0.8043015202284437,1304,0,12
0.7,4,0.012,-0.0005876662978635587,-0.9292499470815838,-0.0011084087915668357,-0.9040446597140543,1953,0,11
0.8,3,0.012,-0.0007628272742822831,-0.914830434607188,-0.001108753334575875,-0.8499345235517226,1561,0,13
0.8,4,0.009,-0.0006271225476785214,-0.8981881695756667,-0.0011219734169681586,-0.8481338366967328,1548,0,13
0.4,8,0.012,-0.0005184662672080194,-0.9984433269429339,-0.0011518853513120136,-0.9787368288188739,3124,0,6
0.5,8,0.012,-0.0005908110450728627,-0.9936508873107032,-0.0011639663763198694,-0.9673923448987307,2671,0,10
0.8,2,0.012,-0.0008235308860449224,-0.9197492245622642,-0.0011760174760788394,-0.8867415329508241,1691,0,13
0.7,8,0.012,-0.0003053811957409482,-0.862828813305716,-0.0011805236054850412,-0.8898977779328258,1693,0,10
0.4,4,0.012,-0.0006689736161169075,-0.9991121991546925,-0.0011815283292522733,-0.9938868863516288,4128,0,7
0.4,12,0.012,-0.0003600582686133878,-0.9976408007917721,-0.0011917656338971327,-0.9694463688848769,2702,0,5
0.7,6,0.012,-0.0004373335499515554,-0.8749245129404919,-0.001192525650765707,-0.9008993587652,1790,0,10
0.7,3,0.012,-0.0007513815506277635,-0.948312813598837,-0.0012178402943063972,-0.9309329712300817,2072,0,11
0.8,8,0.009,-0.00041388412645362816,-0.8688066308737864,-0.0012219773386373317,-0.8393287274896842,1405,0,11
0.7,12,0.012,-0.00034238810670738154,-0.9143677123946395,-0.0012335254735094542,-0.879613771742483,1558,0,9
0.5,6,0.012,-0.0006715296079783025,-0.9949798295208166,-0.0012356948122752176,-0.9805172164343869,2945,0,10
0.4,2,0.012,-0.00082893685823343,-0.9996120227060187,-0.0012441757662222481,-0.9988890585551506,5344,0,5
0.8,3,0.009,-0.0007628272742822831,-0.914830434607188,-0.0012586385226932264,-0.8833261663080044,1613,0,13
0.7,4,0.009,-0.0005876662978635587,-0.9292499470815838,-0.001262456069507848,-0.9329574044055845,2046,0,11
0.7,2,0.012,-0.0008607467714389862,-0.9588615334783254,-0.0012667288112581643,-0.9511488966457043,2260,0,12
0.8,6,0.009,-0.0005048698476550111,-0.8547805017116832,-0.0012753693507696427,-0.8602158794715045,1456,0,11
0.5,4,0.012,-0.0007052566353667035,-0.9952049944850098,-0.0013028311184215095,-0.9901013521908509,3380,0,10
0.7,12,0.009,-0.00034238810670738154,-0.9143677123946395,-0.0013040574605706749,-0.9172495825986456,1754,0,9
0.8,12,0.006,-0.000381568202970694,-0.8892477668521311,-0.0013099824132577942,-0.8745153088064158,1551,0,11
0.4,4,0.009,-0.0006689736161169075,-0.9991121991546925,-0.0013114571037744543,-0.9972417341739791,4372,0,6
0.4,2,0.009,-0.00082893685823343,-0.9996120227060187,-0.0013115795335223892,-0.9992761425312715,5429,0,5
0.4,3,0.012,-0.0007760680509992349,-0.9995269284320073,-0.0013153425092795404,-0.998075444427754,4620,0,7
0.4,12,0.009,-0.0003600582686133878,-0.9976408007917721,-0.0013168361122751799,-0.9892271166947465,3256,0,6
0.4,6,0.009,-0.0006231503555882755,-0.9990296742770112,-0.0013271566022039502,-0.9951321079601685,3840,0,6
0.8,2,0.009,-0.0008235308860449224,-0.9197492245622642,-0.0013297943233242062,-0.9103305383904667,1716,0,13
0.5,3,0.012,-0.0008231951611278769,-0.9971089417408255,-0.0013335891764344311,-0.9942615005728216,3712,0,10
0.7,3,0.009,-0.0007513815506277635,-0.948312813598837,-0.0013367504897891793,-0.9486144424717937,2139,0,11
0.4,8,0.009,-0.0005184662672080194,-0.9984433269429339,-0.0013402813074803066,-0.9929896883204067,3550,0,6
0.4,3,0.009,-0.0007760680509992349,-0.9995269284320073,-0.0013522343239262605,-0.9986989432307917,4805,0,6
0.5,12,0.012,-0.000530021082718944,-0.9947176763690074,-0.0013566909472766363,-0.9708225271064823,2371,0,9
0.6,3,0.012,-0.0008343817720458142,-0.9845105922705539,-0.0013570421118014057,-0.9820364335647637,2852,0,10
0.8,4,0.006,-0.0006271225476785214,-0.8981881695756667,-0.0013595029957160867,-0.8989949191226476,1654,0,12
0.5,2,0.012,-0.0008838597006555211,-0.9974840331873371,-0.001363118809134244,-0.9973460697202483,4210,0,11
0.5,8,0.009,-0.0005908110450728627,-0.9936508873107032,-0.0013669337822279288,-0.9865197221336383,2991,0,9
