wick_threshold,horizon_candles,target_return,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades,blocked_edge_total,blocked_by_regime_rule_total
0.8,12,0.012,-0.000381568202970694,-0.8892477668521311,-0.0009077874413525259,-0.7579564395787819,1212,0,12
0.8,4,0.012,-0.0006271225476785214,-0.8981881695756667,-0.0009080464325895767,-0.7901809037994453,1477,0,13
0.8,6,0.012,-0.0005048698476550111,-0.8547805017116832,-0.0010322169820007586,-0.7922983429248102,1366,0,12
0.4,6,0.012,-0.0006231503555882755,-0.9990296742770112,-0.0010560113619062618,-0.9815274755428479,3493,0,6
0.8,12,0.009,-0.000381568202970694,-0.8892477668521311,-0.00107704693269898,-0.7952204142131797,1345,0,11
0.8,8,0.012,-0.00041388412645362816,-0.8688066308737864,-0.0010853032176190106,-0.8043015202284437,1304,0,12
0.7,4,0.012,-0.0005876662978635587,-0.9292499470815838,-0.0011084087915668357,-0.9040446597140543,1953,0,11
0.8,3,0.012,-0.0007628272742822831,-0.914830434607188,-0.001108753334575875,-0.8499345235517226,1561,0,13
0.8,4,0.009,-0.0006271225476785214,-0.8981881695756667,-0.0011219734169681586,-0.8481338366967328,1548,0,13
0.4,8,0.012,-0.0005184662672080194,-0.9984433269429339,-0.0011518853513120136,-0.9787368288188739,3124,0,6
0.5,8,0.012,-0.0005908110450728627,-0.9936508873107032,-0.0011639663763198694,-0.9673923448987307,2671,0,10
0.8,2,0.012,-0.0008235308860449224,-0.9197492245622642,-0.0011760174760788394,-0.8867415329508241,1691,0,13
0.7,8,0.012,-0.0003053811957409482,-0.862828813305716,-0.0011805236054850412,-0.8898977779328258,1693,0,10
0.4,4,0.012,-0.0006689736161169075,-0.9991121991546925,-0.0011815283292522733,-0.9938868863516288,4128,0,7
0.4,12,0.012,-0.0003600582686133878,-0.9976408007917721,-0.0011917656338971327,-0.9694463688848769,2702,0,5
0.7,6,0.012,-0.0004373335499515554,-0.8749245129404919,-0.001192525650765707,-0.9008993587652,1790,0,10
0.7,3,0.012,-0.0007513815506277635,-0.948312813598837,-0.0012178402943063972,-0.9309329712300817,2072,0,11
0.8,8,0.009,-0.00041388412645362816,-0.8688066308737864,-0.0012219773386373317,-0.8393287274896842,1405,0,11
0.7,12,0.012,-0.00034238810670738154,-0.9143677123946395,-0.0012335254735094542,-0.879613771742483,1558,0,9
0.5,6,0.012,-0.0006715296079783025,-0.9949798295208166,-0.0012356948122752176,-0.9805172164343869,2945,0,10
