wick_threshold,horizon_candles,target_return,payoff_ratio_min,payoff_expected_min,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades,blocked_edge_total,blocked_by_regime_rule_total,blocked_by_payoff_total
0.5,12,0.009,1.5,-0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0005349876993745822,-0.16693056686943175,195,0,0,2111
0.5,12,0.009,1.5,0.0,-0.0007275531247703579,-0.9330968031406038,-0.0005349876993745822,-0.16693056686943175,195,0,0,2111
0.5,12,0.009,1.5,0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0005349876993745822,-0.16693056686943175,195,0,0,2111
0.5,12,0.009,1.5,0.0005,-0.0007275531247703579,-0.9330968031406038,-0.0005349876993745822,-0.16693056686943175,195,0,0,2111
0.7,3,0.009,1.5,-0.0002,-0.0003139419936348404,-0.5655078201759318,-0.0010833490614811433,-0.11302577392225976,95,0,0,1340
0.7,3,0.009,1.5,0.0,-0.0003139419936348404,-0.5655078201759318,-0.0010833490614811433,-0.11302577392225976,95,0,0,1340
0.7,3,0.009,1.5,0.0002,-0.0003139419936348404,-0.5655078201759318,-0.0010833490614811433,-0.11302577392225976,95,0,0,1340
0.7,3,0.009,1.5,0.0005,-0.0003139419936348404,-0.5655078201759318,-0.0010833490614811433,-0.11302577392225976,95,0,0,1340
0.7,12,0.009,1.5,-0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.001155002122730123,-0.1317011063920689,92,0,0,1298
0.7,12,0.009,1.5,0.0,-8.589869765343853e-05,-0.6604094944221618,-0.001155002122730123,-0.1317011063920689,92,0,0,1298
0.7,12,0.009,1.5,0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.001155002122730123,-0.1317011063920689,92,0,0,1298
0.7,12,0.009,1.5,0.0005,-8.589869765343853e-05,-0.6604094944221618,-0.001155002122730123,-0.1317011063920689,92,0,0,1298
0.7,3,0.0045,1.5,-0.0002,-0.0003139419936348404,-0.5655078201759318,-0.0014806838981333646,-0.14062191627501697,95,0,0,1345
0.7,3,0.0045,1.5,0.0,-0.0003139419936348404,-0.5655078201759318,-0.0014806838981333646,-0.14062191627501697,95,0,0,1345
0.7,3,0.0045,1.5,0.0002,-0.0003139419936348404,-0.5655078201759318,-0.0014806838981333646,-0.14062191627501697,95,0,0,1345
0.7,3,0.0045,1.5,0.0005,-0.0003139419936348404,-0.5655078201759318,-0.0014806838981333646,-0.14062191627501697,95,0,0,1345
0.7,12,0.0045,1.5,-0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0017461634272591911,-0.16063222566765867,94,0,0,1326
0.7,12,0.0045,1.5,0.0,-8.589869765343853e-05,-0.6604094944221618,-0.0017461634272591911,-0.16063222566765867,94,0,0,1326
0.7,12,0.0045,1.5,0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0017461634272591911,-0.16063222566765867,94,0,0,1326
0.7,12,0.0045,1.5,0.0005,-8.589869765343853e-05,-0.6604094944221618,-0.0017461634272591911,-0.16063222566765867,94,0,0,1326
