group,metric,before,after,delta
execution,expectancy,-0.001482798194846278,-0.0015513662427735508,-6.85680479272728e-05
execution,winrate,0.4067663257277734,0.38576158940397354,-0.021004736323799844
execution,profit_factor,0.5194001247772123,0.48061122006281964,-0.03878890471439267
execution,max_drawdown,-0.8510822075972772,-0.6132988460848751,0.2377833615124021
execution,trades,1271.0,604.0,-667.0
execution,avg_hold,2.14162077104642,2.3642384105960264,0.22261763954960623
robustness,best_execution_expectancy,-0.00043582640865515594,-0.0005349876993745822,-9.91612907194263e-05
robustness,best_execution_max_dd,-0.36331194840908543,-0.11302577392225976,0.25028617448682566
blocked,blocked_edge_total,0.0,0.0,0.0
blocked,blocked_by_regime_rule_total,5.0,1.0,-4.0
blocked,blocked_by_payoff_total,0.0,1037.0,1037.0
equity,equity_final_return,-0.8507266299752587,-0.6111707932709072,0.23955583670435154
equity,equity_max_drawdown,-0.8514447288173349,-0.6142402203280275,0.2372045084893074
