feature,importance_runup,importance_ddown,importance_mean
range,0.2722834702706555,0.391464570643684,0.33187402045716974
rolling_volatility,0.12756488919943004,0.09145383187042357,0.1095093605349268
dist_to_ma99,0.07212224777655371,0.08099826892507349,0.07656025835081359
dist_to_ma25,0.09553593704925058,0.04362062147754684,0.06957827926339871
slope_ma99,0.0575990765256207,0.07843215441846176,0.06801561547204123
ma99,0.06688589737269435,0.054198649660841494,0.06054227351676792
dist_to_ma7,0.06414644932209747,0.03825018234742425,0.05119831583476086
volume_zscore,0.045400395071914075,0.03960318973050029,0.04250179240120718
ma25,0.04259294578113429,0.03397824653736406,0.038285596159249174
ma7,0.04217607225493179,0.03438087387715761,0.038278473066044705
upper_wick_ratio,0.02836364287628633,0.022265296076179327,0.02531446947623283
lower_wick_ratio,0.02270825320761129,0.02688486387937762,0.024796558543494454
log_return,0.020694376691774784,0.023557315539678436,0.02212584611572661
body,0.02124376594260116,0.022325779957849987,0.021784772950225573
close_position_in_range,0.020682580657443966,0.01858615505843713,0.019634367857940548
var_oi_1,0.0,0.0,0.0
var_oi_3,0.0,0.0,0.0
var_cvd_1,0.0,0.0,0.0
var_cvd_3,0.0,0.0,0.0
