wick_threshold,horizon_candles,target_return,payoff_ratio_min,payoff_expected_min,baseline_expectancy,baseline_max_dd,execution_expectancy,execution_max_dd,execution_trades,blocked_edge_total,blocked_by_regime_rule_total,blocked_by_payoff_total
0.7,12,0.009,1.5,-0.0002,-8.589869765343853e-05,-0.6604094944221618,0.0005494501880211192,-0.05881628565130792,63,0,0,1349
0.7,12,0.009,1.5,0.0,-8.589869765343853e-05,-0.6604094944221618,0.0005494501880211192,-0.05881628565130792,63,0,0,1349
0.7,12,0.009,1.5,0.0002,-8.589869765343853e-05,-0.6604094944221618,0.0005494501880211192,-0.05881628565130792,63,0,0,1349
0.7,12,0.009,1.5,0.0005,-8.589869765343853e-05,-0.6604094944221618,0.0005494501880211192,-0.05881628565130792,63,0,0,1349
0.5,12,0.009,1.5,-0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0002903070333630821,-0.15376606155353778,129,0,0,2271
0.5,12,0.009,1.5,0.0,-0.0007275531247703579,-0.9330968031406038,-0.0002903070333630821,-0.15376606155353778,129,0,0,2271
0.5,12,0.009,1.5,0.0002,-0.0007275531247703579,-0.9330968031406038,-0.0002903070333630821,-0.15376606155353778,129,0,0,2271
0.5,12,0.009,1.5,0.0005,-0.0007275531247703579,-0.9330968031406038,-0.0002903070333630821,-0.15376606155353778,129,0,0,2271
0.7,3,0.009,1.5,-0.0002,-0.0003139419936348404,-0.5655078201759318,-0.0005243125748292889,-0.06455409964241132,63,0,0,1384
0.7,3,0.009,1.5,0.0,-0.0003139419936348404,-0.5655078201759318,-0.0005243125748292889,-0.06455409964241132,63,0,0,1384
0.7,3,0.009,1.5,0.0002,-0.0003139419936348404,-0.5655078201759318,-0.0005243125748292889,-0.06455409964241132,63,0,0,1384
0.7,3,0.009,1.5,0.0005,-0.0003139419936348404,-0.5655078201759318,-0.0005243125748292889,-0.06455409964241132,63,0,0,1384
0.7,12,0.009,1.0,-0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0008420417083648081,-0.36655194755696974,483,0,4,496
0.5,3,0.009,1.5,-0.0002,-0.0006507467959548387,-0.8709558192167728,-0.0008637170268854256,-0.15637572447936032,145,0,0,2375
0.5,3,0.009,1.5,0.0,-0.0006507467959548387,-0.8709558192167728,-0.0008637170268854256,-0.15637572447936032,145,0,0,2375
0.5,3,0.009,1.5,0.0002,-0.0006507467959548387,-0.8709558192167728,-0.0008637170268854256,-0.15637572447936032,145,0,0,2375
0.5,3,0.009,1.5,0.0005,-0.0006507467959548387,-0.8709558192167728,-0.0008637170268854256,-0.15637572447936032,145,0,0,2375
0.7,12,0.009,1.2,0.0005,-8.589869765343853e-05,-0.6604094944221618,-0.0009679564365334339,-0.28347664813392015,322,0,0,815
0.7,12,0.009,1.2,-0.0002,-8.589869765343853e-05,-0.6604094944221618,-0.0010416738608109602,-0.30179466391702214,324,0,0,812
0.7,12,0.009,1.2,0.0,-8.589869765343853e-05,-0.6604094944221618,-0.0010416738608109602,-0.30179466391702214,324,0,0,812
